Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,4.89566570e-01
-178.0,0.0,0.0,6.67433855e-01
-176.0,0.0,0.0,8.05109260e-01
-174.0,0.0,0.0,8.81688877e-01
-172.0,0.0,0.0,8.99401674e-01
-170.0,0.0,0.0,8.76866842e-01
-168.0,0.0,0.0,8.32558673e-01
-166.0,0.0,0.0,8.40613292e-01
-164.0,0.0,0.0,8.54475462e-01
-162.0,0.0,0.0,8.84526942e-01
-160.0,0.0,0.0,9.03751702e-01
-158.0,0.0,0.0,9.24405379e-01
-156.0,0.0,0.0,9.31325371e-01
-154.0,0.0,0.0,8.97745589e-01
-152.0,0.0,0.0,9.12803670e-01
-150.0,0.0,0.0,8.92283696e-01
-148.0,0.0,0.0,8.86471881e-01
-146.0,0.0,0.0,8.86939264e-01
-144.0,0.0,0.0,8.69653921e-01
-142.0,0.0,0.0,8.98658569e-01
-140.0,0.0,0.0,8.63979958e-01
-138.0,0.0,0.0,8.95189795e-01
-136.0,0.0,0.0,8.62227215e-01
-134.0,0.0,0.0,8.61082876e-01
-132.0,0.0,0.0,8.64742983e-01
-130.0,0.0,0.0,8.35650245e-01
-128.0,0.0,0.0,8.70218153e-01
-126.0,0.0,0.0,8.49790257e-01
-124.0,0.0,0.0,8.85508040e-01
-122.0,0.0,0.0,8.67185097e-01
-120.0,0.0,0.0,8.69331334e-01
-118.0,0.0,0.0,8.84951178e-01
-116.0,0.0,0.0,8.60222010e-01
-114.0,0.0,0.0,8.89152179e-01
-112.0,0.0,0.0,8.63245608e-01
-110.0,0.0,0.0,9.03936271e-01
-108.0,0.0,0.0,8.94957765e-01
-106.0,0.0,0.0,9.10911791e-01
-104.0,0.0,0.0,9.18591480e-01
-102.0,0.0,0.0,8.91656284e-01
-100.0,0.0,0.0,9.17880531e-01
-98.0,0.0,0.0,8.87563406e-01
-96.0,0.0,0.0,9.34861804e-01
-94.0,0.0,0.0,8.91081569e-01
-92.0,0.0,0.0,9.21814908e-01
-90.0,0.0,0.0,9.08649638e-01
-88.0,0.0,0.0,8.88906040e-01
-86.0,0.0,0.0,8.89786028e-01
-84.0,0.0,0.0,8.49431323e-01
-82.0,0.0,0.0,8.78651800e-01
-80.0,0.0,0.0,8.65120853e-01
-78.0,0.0,0.0,9.41500702e-01
-76.0,0.0,0.0,9.23827279e-01
-74.0,0.0,0.0,9.42983078e-01
-72.0,0.0,0.0,9.19577974e-01
-70.0,0.0,0.0,8.85415881e-01
-68.0,0.0,0.0,8.89682969e-01
-66.0,0.0,0.0,8.36542198e-01
-64.0,0.0,0.0,8.77119359e-01
-62.0,0.0,0.0,8.49068372e-01
-60.0,0.0,0.0,9.21275801e-01
-58.0,0.0,0.0,9.17926145e-01
-56.0,0.0,0.0,9.07482660e-01
-54.0,0.0,0.0,9.12275449e-01
-52.0,0.0,0.0,8.40754233e-01
-50.0,0.0,0.0,8.83738833e-01
-48.0,0.0,0.0,8.46422580e-01
-46.0,0.0,0.0,9.29992609e-01
-44.0,0.0,0.0,8.93774248e-01
-42.0,0.0,0.0,8.94343639e-01
-40.0,0.0,0.0,9.04371667e-01
-38.0,0.0,0.0,8.45514580e-01
-36.0,0.0,0.0,8.85468181e-01
-34.0,0.0,0.0,8.20297155e-01
-32.0,0.0,0.0,8.93936894e-01
-30.0,0.0,0.0,8.79014426e-01
-28.0,0.0,0.0,9.58092833e-01
-26.0,0.0,0.0,9.55034534e-01
-24.0,0.0,0.0,9.16285841e-01
-22.0,0.0,0.0,8.95059506e-01
-20.0,0.0,0.0,8.48671350e-01
-18.0,0.0,0.0,8.57356727e-01
-16.0,0.0,0.0,8.27815359e-01
-14.0,0.0,0.0,8.81544126e-01
-12.0,0.0,0.0,9.06340800e-01
-10.0,0.0,0.0,9.82805970e-01
-8.0,0.0,0.0,9.61040327e-01
-6.0,0.0,0.0,8.91450667e-01
-4.0,0.0,0.0,9.03607237e-01
-2.0,0.0,0.0,8.27824281e-01
0.0,0.0,0.0,8.77579596e-01
2.0,0.0,0.0,8.20225964e-01
4.0,0.0,0.0,9.02581955e-01
6.0,0.0,0.0,8.76638227e-01
8.0,0.0,0.0,9.06611133e-01
10.0,0.0,0.0,9.10595347e-01
12.0,0.0,0.0,8.06664294e-01
14.0,0.0,0.0,8.44241304e-01
16.0,0.0,0.0,8.02293085e-01
18.0,0.0,0.0,8.92384847e-01
20.0,0.0,0.0,8.94351126e-01
22.0,0.0,0.0,1.00000000e+00
24.0,0.0,0.0,9.89036315e-01
26.0,0.0,0.0,9.01547858e-01
28.0,0.0,0.0,9.09881053e-01
30.0,0.0,0.0,8.02806674e-01
32.0,0.0,0.0,8.63779527e-01
34.0,0.0,0.0,8.27410663e-01
36.0,0.0,0.0,9.40449791e-01
38.0,0.0,0.0,9.18088970e-01
40.0,0.0,0.0,9.36123335e-01
42.0,0.0,0.0,9.55520487e-01
44.0,0.0,0.0,8.32188800e-01
46.0,0.0,0.0,8.66323522e-01
48.0,0.0,0.0,8.17084771e-01
50.0,0.0,0.0,8.98705851e-01
52.0,0.0,0.0,9.09058447e-01
54.0,0.0,0.0,9.94589249e-01
56.0,0.0,0.0,9.99937905e-01
58.0,0.0,0.0,9.06281103e-01
60.0,0.0,0.0,8.93674551e-01
62.0,0.0,0.0,7.96518127e-01
64.0,0.0,0.0,8.17549578e-01
66.0,0.0,0.0,8.11070471e-01
68.0,0.0,0.0,9.03936475e-01
70.0,0.0,0.0,9.19548405e-01
72.0,0.0,0.0,9.62668621e-01
74.0,0.0,0.0,9.75242024e-01
76.0,0.0,0.0,8.88591442e-01
78.0,0.0,0.0,9.06332576e-01
80.0,0.0,0.0,8.23678070e-01
82.0,0.0,0.0,8.60869600e-01
84.0,0.0,0.0,8.36418898e-01
86.0,0.0,0.0,9.37434382e-01
88.0,0.0,0.0,9.28372538e-01
90.0,0.0,0.0,8.93670991e-01
92.0,0.0,0.0,8.96535515e-01
94.0,0.0,0.0,8.12028522e-01
96.0,0.0,0.0,8.38970683e-01
98.0,0.0,0.0,8.09817456e-01
100.0,0.0,0.0,8.62114058e-01
102.0,0.0,0.0,8.79079817e-01
104.0,0.0,0.0,9.44264685e-01
106.0,0.0,0.0,9.82626316e-01
108.0,0.0,0.0,9.17513383e-01
110.0,0.0,0.0,9.29747722e-01
112.0,0.0,0.0,8.49220953e-01
114.0,0.0,0.0,8.66272466e-01
116.0,0.0,0.0,8.33619337e-01
118.0,0.0,0.0,8.86702287e-01
120.0,0.0,0.0,8.88225221e-01
122.0,0.0,0.0,9.21926952e-01
124.0,0.0,0.0,9.43104526e-01
126.0,0.0,0.0,8.84484482e-01
128.0,0.0,0.0,9.37568061e-01
130.0,0.0,0.0,8.82902944e-01
132.0,0.0,0.0,9.39902619e-01
134.0,0.0,0.0,9.07601997e-01
136.0,0.0,0.0,9.49079630e-01
138.0,0.0,0.0,9.29275537e-01
140.0,0.0,0.0,8.95713413e-01
142.0,0.0,0.0,9.01414875e-01
144.0,0.0,0.0,8.19062450e-01
146.0,0.0,0.0,8.39710647e-01
148.0,0.0,0.0,8.21811360e-01
150.0,0.0,0.0,8.66859334e-01
152.0,0.0,0.0,8.67838451e-01
154.0,0.0,0.0,8.81925329e-01
156.0,0.0,0.0,8.88151514e-01
158.0,0.0,0.0,8.43718865e-01
160.0,0.0,0.0,8.82567063e-01
162.0,0.0,0.0,8.37734008e-01
164.0,0.0,0.0,9.20374010e-01
166.0,0.0,0.0,8.72961889e-01
168.0,0.0,0.0,9.21317803e-01
170.0,0.0,0.0,9.56364825e-01
172.0,0.0,0.0,9.50843981e-01
174.0,0.0,0.0,8.82991447e-01
176.0,0.0,0.0,7.46887740e-01
178.0,0.0,0.0,5.61171743e-01
